machine, time
small-small-mem, 16.92
small-small-mem, 7518.69
small-medium-mem, 14.49
small-medium-mem, 7506.06
small-x-large-mem, 15.3
small-x-large-mem, 7790.5
medium-small-mem, 11.63
medium-small-mem, 5773.2
medium-medium-mem, 11.85
medium-medium-mem, 5434.72
medium-large-mem, 11.03
medium-large-mem, 5796.67
medium-x-large-mem, 10.65
medium-x-large-mem, 5527.38
medium-xx-large-mem, 11.65
medium-xx-large-mem, 6006.37
large-medium-mem, 13.08
large-medium-mem, 5056.61
large-large-mem, 12.03
large-large-mem, 5131.98
large-x-large-mem, 12.45
large-x-large-mem, 5680.25
x-large-small-mem, 12.83
x-large-small-mem, 4832.63
x-large-medium-mem, 12.83
x-large-medium-mem, 4689.34
x-large-large-mem, 13.09
x-large-large-mem, 4713.16
x-large-x-large-mem, 12.99
x-large-x-large-mem, 4642.58
